aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
am= या अकर्मक क्रियापदाचे वतर्मानकाळी प्रथम पुरुषी एकवचनी रूप , , 
A.M= मध्यरात्रीपासून मध्यांन्हापर्यतचा काळ, सकाळी, 
amalgam= कोणत्याही धातूचे पर्याबरोबर केलेल मिश्रण , , 
amalgamate= एकत्र होणे , मिसळणे, 
amalgamation= एकत्र होणे , संयोग, 
amanuensis= सांगीतालेला मजकूर लिहून घेणारा , , 
amass= साठवणे, , 
amateur= हौशी , , 
amatory= वैषयिक प्रेम , , 
amaze= अतिआश्चर्याने गुंग करणे, , 
amazement= आत्यंतिक आश्चर्य, , 
amazing= आश्चर्यकारक, , 
Amazon= दक्षिण अमेरिकेतील एक नदी, , 
ambassador= परदेशी पाठवलेला वकील , , 
amber= एक पिवळा रंगाचा कडक बनलेला पदार्थ , , 
ambidextrous= सव्यसाची, , 
ambience= वातावरण, , 
ambient= सभोवतालची, , 
ambiguity= अर्थबाबत संदिग्धता , , 
ambiguous= संदिग्ध  , एकापेक्षा अधिक अर्थ असणारा , 
ambit= अधिकार , कक्षा, 
ambition= महत्त्वाकांक्षा , , 
ambitious= महत्त्वाकांक्षी, , 
ambivalence= परस्परविरोधी वर्तन , इच्छा, 
ambivalent= एकाच वेळी एकाच व्यक्तीबद्दल चांगल्या,वाइट अशा दोन परस्परविरोधी भावना एकत्र असणारा, , 
amble= सावकाश धावणे , , 
ambrosia= देवांचे अन्न, , 
ambulance= रुग्णवाहिका , , 
ambulant= एका ठिकाणाहून दुसऱ्या ठिकाणी फिरत राहणारा, , 
ambuscade= दबा धरून बसायची जागा, , 
ambush= दबा धरून बसणे , , 
ameliorate= अधिक चांगला किंवा सुयोग्य करणे, , 
amen= तथास्तु, , 
amenable= सहज कह्यात राहणारा, , 
amend= सुधारणा करणे, , 
amendment= सुधारणा , , 
amends= नुकसानभरपाई, , 
amenity= सुखावहता, , 
amethyst= एक मौल्यवान जांभळा खडा, , 
amiable= प्रेमळ, , 
amicable= सलोख्याचा, , 
amid(st)= मध्यभागी , , 
amidships= जहाजाच्या मध्यभागी, , 
amigo= मित्र, , 
amiss= चुकीचे , , 
amity= मित्र, सलोखा, 
ammeter= विद्युतप्रवाह मोजण्याचे साधन, , 
